date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:02	129317/129317	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jul%202025%2015:12:02%20GMT	https://vascons.ro/	C:/Users/C76/Desktop/vascons1/vascons.ro/index.html	(from )
18:12:02	107/107	---M-Z	200	added ('OK')	text/plain	date:Tue,%2022%20Jul%202025%2015:12:01%20GMT	https://vascons.ro/robots.txt		(from )
18:12:02	45738/45738	---M-Z	200	added ('OK')	text/css	etag:%22b2aa-637c8bb3c5cee-gzip%22	https://vascons.ro/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.3	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-content/themes/astra/assets/css/minified/main.min80dd.css	(from https://vascons.ro/)
18:12:02	1643/1643	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f5fe6c4de054e55401b3e8f6711675c0-gzip%22	https://vascons.ro/feed/	C:/Users/C76/Desktop/vascons1/vascons.ro/feed/index.html	(from https://vascons.ro/)
18:12:03	116345/116345	---M-Z	200	added ('OK')	text/css	etag:%221c679-639fceb88b134-gzip%22	https://vascons.ro/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://vascons.ro/)
18:12:03	1606/1606	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f5fe6c4de054e55401b3e8f6711675c0-gzip%22	https://vascons.ro/comments/feed/	C:/Users/C76/Desktop/vascons1/vascons.ro/comments/feed/index.html	(from https://vascons.ro/)
18:12:03	21578/21578	---MC-	200	added ('OK')	application/json	date:Tue,%2022%20Jul%202025%2015:12:03%20GMT	https://vascons.ro/wp-json/wp/v2/pages/46	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-json/wp/v2/pages/46.json	(from https://vascons.ro/)
18:12:03	774/774	---M-Z	200	added ('OK')	text/xml	date:Tue,%2022%20Jul%202025%2015:12:03%20GMT	https://vascons.ro/xmlrpc.php?rsd	C:/Users/C76/Desktop/vascons1/vascons.ro/xmlrpc0db0.php	(from https://vascons.ro/)
18:12:03	2010/2010	---M--	200	added ('OK')	application/json	date:Tue,%2022%20Jul%202025%2015:12:03%20GMT	https://vascons.ro/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvascons.ro%2F	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-json/oembed/1.0/embed05d0.json	(from https://vascons.ro/)
18:12:04	2150/2150	---M-Z	200	added ('OK')	text/xml	date:Tue,%2022%20Jul%202025%2015:12:03%20GMT	https://vascons.ro/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvascons.ro%2F&format=xml	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-json/oembed/1.0/embedc205	(from https://vascons.ro/)
